#Name    TICID
Kepler-1136b 164671623
Kepler-1137b 399913391
Kepler-1138b 405685914
Kepler-1139b 121458495
Kepler-1140b 123359347
Kepler-1141b 159393734
Kepler-1142b 63366291
Kepler-1144b 159226202
Kepler-1145b 271539239
Kepler-1146b 158322622
Kepler-1148b 159581434
Kepler-1149b 270857274
Kepler-1151b 63204022
Kepler-1152b 159382189
Kepler-1153b 158987296
Kepler-1155b 121785676
Kepler-1156b 158842046
Kepler-1157b 164460347
Kepler-1158b 137557778
Kepler-1159b 270955277
Kepler-1160b 158630233
Kepler-1161b 268390796
Kepler-1162b 164522726
Kepler-1163b 406950324
Kepler-1164b 121275496
Kepler-1165b 158326744
Kepler-1166b 406951266
Kepler-1167b 273875149
Kepler-1168b 158412890
Kepler-1169b 271354748
Kepler-1170b 63125460
Kepler-1171b 138888759
Kepler-1172b 122507231
Kepler-1173b 275490034
Kepler-1174b 123408863
Kepler-1175b 158986028
Kepler-1176b 273582656
Kepler-1177b 399826020
Kepler-1178b 158729099
Kepler-1179b 164658882
Kepler-1180b 271966200
Kepler-1181b 394176812
Kepler-1182b 272270522
Kepler-1183b 137550938
Kepler-1184b 159725400
Kepler-1185b 121121775
Kepler-1186b 158730884
Kepler-1187b 121021644
Kepler-1188b 164460740
Kepler-1189b 267991349
Kepler-1190b 48504464
Kepler-1191b 26538999
Kepler-1192b 123416753
Kepler-1193b 298897851
Kepler-1194b 137317096
Kepler-1195b 120252007
Kepler-1196b 63210324
Kepler-1197b 63004645
Kepler-1198b 158843826
Kepler-1199b 270696519
Kepler-12b 405717754
Kepler-1200b 272489594
Kepler-1201b 377915758
Kepler-1202b 63209010
Kepler-1203b 63449012
Kepler-1204b 159043952
Kepler-1205b 122443195
Kepler-1206b 27649203
Kepler-1207b 27390527
Kepler-1208b 63010574
Kepler-1209b 399953998
Kepler-1210b 26750065
Kepler-1211b 120578889
Kepler-1212b 27912642
Kepler-1213b 416266465
Kepler-1214b 48528473
Kepler-1215b 28230011
Kepler-1216b 158486842
Kepler-1217b 299160628
Kepler-1218b 159763595
Kepler-1219b 273046164
Kepler-1220b 272944301
Kepler-1221b 279912260
Kepler-1222b 27240404
Kepler-1223b 164889945
Kepler-1224b 120964116
Kepler-1225b 122595850
Kepler-1226b 27845000
Kepler-1227b 121113728
Kepler-1228b 272596598
Kepler-1229b 273373582
Kepler-1230b 237157859
Kepler-1231b 158792743
Kepler-1232b 351190880
Kepler-1233b 273131021
Kepler-1234b 399956098
Kepler-1235b 164830167
Kepler-1236b 271758949
Kepler-1237b 271770315
Kepler-1238b 169931288
Kepler-1239b 275496016
Kepler-1240b 258203566
Kepler-1242b 120317833
Kepler-1243b 270782121
Kepler-1244b 123447592
Kepler-1246b 298785034
Kepler-1247b 271165854
Kepler-1248b 298897924
